Name,AttributeDescription,Type,Units,Length,ValidValues,AggDefaultValues,DefaultValue1,DefaultValueDesciption1,DefaultValue2,DefaultValueDesciption2,DefaultValue3,DefaultValueDesciption3,DefaultValue4,DefaultValueDesciption4,DefaultValue5,DefaultValueDesciption5,DefaultValue6,DefaultValueDesciption6,Equifax_TU_Availability,LeveledWithExperian,ExpNewData_ArchiveAvailableDate_Arf7SubsegKeyword,RecommendedNotToUse_NCAPImpact
ALL2136,Total number of trades presently 60 days delinquent reported in the last 6 months ,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2146,Total number of trades presently 60-180 days delinquent reported in the last 6 months ,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2166,Total number of trades presently 90 days delinquent reported in the last 6 months ,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2176,Total number of trades presently 90-180 days delinquent reported in the last 6 months ,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2180,Total number of trades presently 30 or more days delinquent or derogatory with a first payment default excluding collections ,number,Trades,2,0-90,"99: No trade excluding collections
96: No open or closed trade
94: No open or closed trade presently 30 or more days delinquent

",99,No trade excluding collections,96,No open or closed trade,94,No open or closed trade presently 30 or more days delinquent,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2181,Total number of trades presently 30 or more days delinquent or derogatory with 30 or more days delinquent or derogatory in the first 3 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections
96: No open or closed trade
94: No open or closed trade presently 30 or more days delinquent

",99,No trade excluding collections,96,No open or closed trade,94,No open or closed trade presently 30 or more days delinquent,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2182,Total number of trades presently 30 or more days delinquent or derogatory with 30 or more days delinquent or derogatory in the first 6 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections
96: No open or closed trade
94: No open or closed trade presently 30 or more days delinquent

",99,No trade excluding collections,96,No open or closed trade,94,No open or closed trade presently 30 or more days delinquent,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2183,Total number of trades presently 30 or more days delinquent or derogatory with 30 or more days delinquent or derogatory in the first 9 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections
96: No open or closed trade
94: No open or closed trade presently 30 or more days delinquent

",99,No trade excluding collections,96,No open or closed trade,94,No open or closed trade presently 30 or more days delinquent,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2184,Total number of trades presently 30 or more days delinquent or derogatory with 30 or more days delinquent or derogatory in the first 12 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections
96: No open or closed trade
94: No open or closed trade presently 30 or more days delinquent

",99,No trade excluding collections,96,No open or closed trade,94,No open or closed trade presently 30 or more days delinquent,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2196,Total number of trades presently 120-180 days delinquent reported in the last 6 months,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2201,"Total number of unsatisfied derogatory trades excluding collections, charge-offs and bankruptcies",number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2202,"Total number of trades filed with government or insurance, early termination by default, or voluntary surrender excluding collections",number,Trades,2,0-90,"99: No trade excluding collections
",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2206,Total number of trades presently derogatory occurred in the last 6 months including collections ,number,Trades,2,0-90,"99: No trade including collections
97: No trade reported within timeframe required

",99,No trade including collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
